trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-2 incy.-2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-2 incy.-1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-2 incy.1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-2 incy.2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-1 incy.-2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-1 incy.-1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-1 incy.1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.-1 incy.2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.1 incy.-2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.1 incy.-1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.1 incy.1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.1 incy.2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.2 incy.-2 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.2 incy.-1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.2 incy.1 
trans.'C' m.2 n.5 kl.1 ku.2 lda.5 incx.2 incy.2 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-2 incy.-2 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-2 incy.-1 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-2 incy.1 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-2 incy.2 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-1 incy.-2 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-1 incy.-1 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-1 incy.1 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.-1 incy.2 
trans.'C' m.2 n.5 kl.3 ku.4 lda.9 incx.1 incy.-2 
